alpha_vals,AI,kurtosis,C
0.001,2.041644741181511,3.9462452305171833,4.032
0.005,3.7698167962809985,5.3784834583866585,4.16
0.01,3.3945675160682787,4.363992795780853,4.32
0.02,3.971023078076122,5.442445271492034,4.64
0.03,1.0441790893020777,2.2416924054919374,4.96
0.05,3.3320487659315363,6.430980683676914,5.6
0.08,3.1680326233382745,4.358186959964262,6.5600000000000005
0.1,6.198275927509758,8.489189458381608,7.2
